前、in front, before 
前、まえ、ぜん
方法、method
方法、ほうほう
大抵、mostly, ordinarily, usually, generally
大抵、たいてい
閉じる、to close, to shut, to shut (eyes, book, etc)
閉じる、とじる
羊、sheep
羊、ひつじ
想像、 imagination; supposition; guess
想像、そうぞう
想、concept, think, idea, thought
想、そう
像、statue, picture, image, figure, portrait 
像、ぞう
数える、to count; to enumerate
数える、かぞえる
毎晩、every night
毎晩、まいばん
すてき、lovely; wonderful; nice; great; fantastic; superb; cool
夢、dream
夢、ゆゆ
匹、counter for small animals
匹、ひき
